# Running on file ./src/test/resources/it/unibo/c2c/input.csv with args: maxError=75.0, maxSegments=6, startYear=1984, endYear=2019, infill=true, spikesTolerance=0.85, revertBand=false, negativeMagnitudeOnly=false
id, year, value, magnitude, duration, rate, postMagnitude, postDuration, postRate
79,2019,255,406,28,14.5,NaN,NaN,NaN
80,1984,-35,NaN,NaN,NaN,-115,6,-19.166666666666668
80,1990,-150,-115,6,-19.166666666666668,355,1,355
80,1991,205,355,1,355,101,8,12.625
80,1999,306,101,8,12.625,-456,2,-228
80,2001,-150,-456,2,-228,401,1,401
80,2002,251,401,1,401,-101,17,-5.941176470588236
80,2019,150,-101,17,-5.941176470588236,NaN,NaN,NaN
81,1984,578,NaN,NaN,NaN,15,6,2.5
81,1990,593,15,6,2.5,-560,1,-560
81,1991,33,-560,1,-560,-239,10,-23.9
81,2001,-206,-239,10,-23.9,115,18,6.388888888888889
81,2019,-91,115,18,6.388888888888889,NaN,NaN,NaN
82,1984,628,NaN,NaN,NaN,-379,9,-42.111111111111114
82,1993,249,-379,9,-42.111111111111114,339,1,339
82,1994,588,339,1,339,64,3,21.333333333333332
82,1997,652,64,3,21.333333333333332,-233,1,-233
82,1998,419,-233,1,-233,191,1,191
82,1999,610,191,1,191,11,20,0.55
82,2019,621,11,20,0.55,NaN,NaN,NaN
83,1984,481,NaN,NaN,NaN,106,18,5.888888888888889
83,2002,587,106,18,5.888888888888889,-638,1,-638
83,2003,-51,-638,1,-638,190,1,190
83,2004,139,190,1,190,0,3,0
83,2007,139,0,3,0,222,1,222
83,2008,361,222,1,222,28,11,2.545454545454545
83,2019,389,28,11,2.545454545454545,NaN,NaN,NaN
84,1984,593,NaN,NaN,NaN,41,13,3.153846153846154
84,1997,634,41,13,3.153846153846154,-610,1,-610
84,1998,24,-610,1,-610,228,1,228
84,1999,252,228,1,228,-12,6,-2
84,2005,240,-12,6,-2,253,5,50.6
84,2010,493,253,5,50.6,20,9,2.222222222222222
84,2019,513,20,9,2.222222222222222,NaN,NaN,NaN
85,1984,514,NaN,NaN,NaN,132,14,9.428571428571429
85,1998,646,132,14,9.428571428571429,-158,1,-158
85,1999,488,-158,1,-158,114,1,114
85,2000,602,114,1,114,-288,1,-288
85,2001,314,-288,1,-288,432,6,72
85,2007,746,432,6,72,-31,12,-2.583333333333333
85,2019,715,-31,12,-2.583333333333333,NaN,NaN,NaN
86,1984,388,NaN,NaN,NaN,177,21,8.428571428571429
86,2005,565,177,21,8.428571428571429,-195,1,-195
86,2006,370,-195,1,-195,68,1,68
86,2007,438,68,1,68,-322,1,-322
86,2008,116,-322,1,-322,154,11,14
86,2019,270,154,11,14,NaN,NaN,NaN
87,1984,728,NaN,NaN,NaN,1,18,0.055555555555556
87,2002,729,1,18,0.055555555555556,-270,2,-135
87,2004,459,-270,2,-135,164,5,32.8
87,2009,623,164,5,32.8,-697,1,-697
87,2010,-74,-697,1,-697,190,9,21.11111111111111
87,2019,116,190,9,21.11111111111111,NaN,NaN,NaN
88,1984,499,NaN,NaN,NaN,-1,6,-0.166666666666667
88,1990,498,-1,6,-0.166666666666667,-535,1,-535
88,1991,-37,-535,1,-535,373,1,373
88,1992,336,373,1,373,288,21,13.714285714285714
88,2013,624,288,21,13.714285714285714,-713,1,-713
88,2014,-89,-713,1,-713,0,5,0
88,2019,-89,0,5,0,NaN,NaN,NaN
89,1984,600,NaN,NaN,NaN,62,24,2.583333333333333
89,2008,662,62,24,2.583333333333333,-173,1,-173
89,2009,489,-173,1,-173,-448,1,-448
89,2010,41,-448,1,-448,3,9,0.333333333333333
89,2019,44,3,9,0.333333333333333,NaN,NaN,NaN
90,1984,659,NaN,NaN,NaN,-131,8,-16.375
90,1992,528,-131,8,-16.375,168,27,6.222222222222222
90,2019,696,168,27,6.222222222222222,NaN,NaN,NaN
91,1984,353,NaN,NaN,NaN,8,23,0.347826086956522
91,2007,361,8,23,0.347826086956522,275,1,275
91,2008,636,275,1,275,27,11,2.454545454545455
91,2019,663,27,11,2.454545454545455,NaN,NaN,NaN
92,1984,170,NaN,NaN,NaN,-122,21,-5.809523809523809
92,2005,48,-122,21,-5.809523809523809,216,1,216
